,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
428,29,-1,Post Malone - Pour Me A Drink,12,10,,4862,24,0.08,5.0,62.0,176.0,9.0,,,,3.0,,,,,,,,,,29.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
429,30,-3,Taylor Swift - Fortnight,75,1,(x6),4821,-89,0.641,47.0,71.0,21.0,30.0,,,,28.0,44.0,,75.0,,,,24.0,,,171.0,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
430,31,=,"Chappell Roan - Good Luck, Babe",60,21,,4440,54,0.163,22.0,28.0,126.0,42.0,,,,19.0,100.0,,,,,,,71.0,,,,,,,,37.0,,9.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
431,32,+7,Christine and the Queens - Full of life,29,28,,4256,944,0.102,,25.0,35.0,,,30.0,,,,7.0,19.0,,,23.0,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
432,33,+14,Miley Cyrus - Flowers,537,1,(x119),3938,1083,6.402,57.0,72.0,60.0,91.0,,,23.0,58.0,19.0,,45.0,,,,43.0,,,172.0,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
433,34,+2,Tommy Richman - MILLION DOLLAR BABY,67,13,,3870,500,0.331,15.0,58.0,124.0,22.0,,,75.0,30.0,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
434,35,-2,Jelly Roll - I Am Not Okay,21,21,,3692,5,0.098,3.0,111.0,,16.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
435,36,-4,KAROL G - Si Antes Te Hubiera Conocido,12,28,,3406,-778,0.046,52.0,,132.0,,,,,,41.0,1.0,,,,37.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,2024-07-02
436,37,+4,Coldplay - Viva la Vida,1508,7,,3394,177,6.016,174.0,13.0,109.0,84.0,,,,113.0,,21.0,61.0,,,47.0,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,2024-07-02
437,38,=,Imagine Dragons - Wake Up,5,38,,3324,2,0.013,80.0,146.0,55.0,38.0,,,,37.0,5.0,,,95.0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
438,39,-5,ILLIT - Magnetic,100,17,,2968,-487,0.392,,,,,22.0,,,,,,,39.0,,,,,168.0,16.0,50.0,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2024-07-02
439,40,+5,Zach Bryan - Pink Skies,40,26,,2936,-94,0.138,9.0,142.0,,36.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
440,41,+9,Snollebollekes - Links Rechts,16,28,,2850,319,0.307,,,8.0,,,,43.0,,40.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
441,42,+1,Ella Langley & Riley Green - you look like you love me,12,42,,2839,-222,0.034,12.0,86.0,,56.0,,,,20.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
442,43,+3,"Adam Port, Stryv, Keinemusik, Orso & Malachiii - Move",18,34,,2761,-187,0.042,,143.0,77.0,,,,57.0,,46.0,,38.0,,,69.0,,39.0,200.0,,51.0,,,,,,,,,,,,,,15.0,,,,,,,,,118.0,,1.0,,,,,,,,,,,55.0,,,,,,2024-07-02
443,44,+4,Benson Boone - Slow It Down,102,17,,2703,-13,0.255,51.0,79.0,,20.0,,,,76.0,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
444,45,-8,Dua Lipa - Training Season,138,1,(x2),2598,-765,0.923,,48.0,,48.0,,,,122.0,36.0,,18.0,,,192.0,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
445,46,-11,Wyn Starks - Who I Am,8,31,,2565,-859,0.027,108.0,60.0,82.0,71.0,,,,12.0,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
446,47,+8,floyymenor & Cris Mj - Gata Only,83,36,,2543,61,0.197,,,120.0,,,,60.0,,90.0,,7.0,,,53.0,18.0,45.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
447,48,+11,Coldplay - Yellow,165,34,,2521,150,1.603,175.0,11.0,,63.0,,,,83.0,74.0,,162.0,,,,,,,,,,,,,,,21.0,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
448,49,+4,Kabin Crew - The Spark,20,24,,2507,-7,0.065,153.0,77.0,48.0,32.0,,,46.0,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
449,50,+8,YOASOBI - UNDEAD,3,50,,2426,39,0.007,,,,,1.0,,,,,,,69.0,,,,,,194.0,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
450,51,+9,NewJeans - Supernatural,12,19,,2319,-1,0.046,,,,,19.0,,,,,,,,,,,,,31.0,,,,,,,9.0,,,,,,,,,12.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,99.0,2024-07-02
451,52,+2,Ed Sheeran - Perfect,2678,1,(x62),2313,-172,14.86,155.0,,,76.0,,165.0,,108.0,,178.0,110.0,145.0,47.0,161.0,,,,,,189.0,63.0,,80.0,,152.0,,,54.0,,,61.0,71.0,,53.0,,63.0,69.0,,40.0,,48.0,19.0,,,,33.0,,18.0,,,,27.0,37.0,,23.0,44.0,21.0,26.0,,108.0,2024-07-02
452,53,-13,"Jax Jones, Joel Corry & Jason Derulo - Tonight",5,22,,2237,-981,0.02,,52.0,50.0,,,,,134.0,6.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
453,54,+10,Ed Sheeran - Shape of You,2536,1,(x110),2231,124,12.501,,,,102.0,,162.0,,,57.0,168.0,,140.0,152.0,,,,,,,187.0,50.0,125.0,47.0,,140.0,,36.0,62.0,,,67.0,66.0,,,,49.0,55.0,29.0,39.0,,33.0,12.0,,42.0,,32.0,38.0,14.0,56.0,11.0,29.0,,,33.0,28.0,27.0,16.0,23.0,44.0,85.0,2024-07-02
454,55,+11,P!nk - Just Give Me a Reason,1716,1,(x23),2130,105,9.833,,,,,,143.0,,,56.0,177.0,,,,,137.0,,,,,,,85.0,9.0,118.0,148.0,109.0,31.0,57.0,99.0,124.0,55.0,82.0,197.0,52.0,,11.0,17.0,,42.0,,52.0,,138.0,,4.0,38.0,43.0,29.0,,41.0,26.0,,13.0,40.0,38.0,,14.0,38.0,,,2024-07-02
455,56,+5,Marshmello & Kane Brown - Miles on It,61,19,,2127,-74,0.192,14.0,116.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
456,57,+17,Sia - Unstoppable,1451,3,(x7),2124,161,6.317,104.0,,148.0,86.0,,,,94.0,64.0,,,,,150.0,35.0,,,,,,,15.0,,,,,,111.0,,,,,,8.0,,,,,,,,29.0,,,,,,,,,,,,,41.0,,,,,93.0,2024-07-02
457,58,+14,Adele - Hello,2728,1,(x111),2111,124,10.497,,,,,,150.0,,182.0,,157.0,,138.0,,,,,57.0,,,183.0,,,,22.0,,110.0,23.0,,110.0,127.0,68.0,62.0,,50.0,,,,,37.0,,17.0,9.0,118.0,41.0,,35.0,29.0,13.0,,5.0,11.0,5.0,,30.0,22.0,22.0,4.0,22.0,34.0,101.0,2024-07-02
458,59,-10,Coldplay - Hymn for the Weekend,511,6,,2069,-548,4.767,,29.0,,,,,,,59.0,,,142.0,160.0,77.0,,,,,,,66.0,,,,,15.0,,80.0,,,,,,,,,,,63.0,,,42.0,,,,,35.0,,,16.0,,,,,59.0,,,35.0,,,2024-07-02
459,60,+5,Lady Gaga - Always Remember Us This Way,1756,2,(x18),2049,-48,7.133,,119.0,,60.0,,,,71.0,58.0,22.0,114.0,,,,,,,138.0,,,,,,,,,,147.0,,,125.0,118.0,,,,,,,47.0,,,,,,,,,,,,,,,,73.0,,,28.0,,110.0,2024-07-02
460,61,-4,"Meduza, OneRepublic & Leony - Fire",54,28,,2017,-415,0.131,,,10.0,,,,,,32.0,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
461,62,+19,Luke Combs - Ain't No Love In Oklahoma,48,25,,1939,170,0.145,24.0,,,70.0,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
462,63,+40,AYLIVA & Apache 207 - Wunder,68,35,,1908,343,0.164,,,5.0,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
