,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN,DATE
378,179,-4,Slimane - Mon amour,53,33,,1191,-21,0.157,,,,,,,40.0,,,,,,18.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,17.0,,,,,,,,,,,,,,,,2024-07-01
379,180,-24,Vance Joy - Riptide,811,48,,1188,-96,2.057,,87.0,,169.0,56.0,106.0,,,,,,,138.0,,80.0,,,,,,140.0,,123.0,133.0,,,,,,83.0,,,,,,,,,,,,,,,,,,197.0,,,,,,,,,,,,,2024-07-01
380,181,+4,ANNA - 30ÂºC,4,172,,1185,3,0.033,,,,,,,,2.0,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
381,182,+6,Jakone & Kiliana - ÐÑÑÐ°Ð»ÑÑ,6,173,,1185,17,0.011,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,43.0,,2024-07-01
382,183,+4,Fujii Kaze - Michi Teyu Ku,101,61,,1178,10,0.18,,,44.0,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
383,184,+14,"Big Baby Tape, Aarne & Toxi$ - Ameli",3,184,,1178,44,0.004,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,38.0,,,,,,,,,,,,,,,,,30.0,,2024-07-01
384,185,-9,Bad Bunny - TitÃ­ Me PreguntÃ³,736,22,,1165,-43,2.035,163.0,,,,,,,185.0,,66.0,,,,,179.0,,35.0,39.0,,,,,,,,,,,,,67.0,,,23.0,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,2024-07-01
385,186,-3,Da-iCE - I wonder,37,174,,1163,-23,0.053,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
386,187,-21,Sexyy Red & Drake - U My Everything,36,75,,1162,-87,0.054,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
387,188,-14,Lil Baby - Freestyle,561,75,,1162,-51,1.143,24.0,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,82.0,,,,,,174.0,,,,,,,,,,,,,,2024-07-01
