,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN,DATE
146,147,-20,Eminem - Without Me,170,37,,1339,-107,0.835,,83.0,,124.0,60.0,114.0,,,,,161.0,,,,64.0,,,,,,177.0,,,90.0,,,,,,88.0,,,155.0,,,,132.0,,,,,,,,,,,161.0,,,119.0,,,,105.0,,,,,,2024-06-30
147,148,+1,Vaundy - æªç£ã®è±å,538,112,,1333,0,1.191,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
148,149,+12,Udo Lindenberg & Apache 207 - Komet,518,65,,1324,67,0.998,,,,22.0,,,,,,,,,,,55.0,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,2024-06-30
149,150,+37,Lewis Capaldi - Someone You Loved,1656,6,,1324,177,8.074,,95.0,,193.0,59.0,,,,,,,,128.0,,53.0,,,,,,124.0,,99.0,52.0,,,,,183.0,148.0,,,164.0,,,,,,,,,,,,83.0,108.0,,124.0,,,,,,,,,73.0,,,,2024-06-30
150,151,-6,Monetochka - Ð¡ÐµÐ»ÑÑÐ°ÑÐ¼,34,115,,1315,-45,0.049,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,15.0,,78.0,,,,,,,,,,,,,,,29.0,,2024-06-30
151,152,=,Mrs. GREEN APPLE - éã¨å¤,247,139,,1307,0,1.514,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
152,153,+1,JUNG KOOK & Latto - Seven,353,6,,1304,2,1.702,,,91.0,,,,,,84.0,,,188.0,,,,,,,106.0,139.0,,,,,,50.0,,,62.0,,,,,,,,,,,,,,,3.0,96.0,82.0,,,119.0,33.0,,,,,,,34.0,,,55.0,2024-06-30
153,154,+1,Tony Effe & GAIA - SESSO E SAMBA,31,150,,1295,-6,0.045,,,,,,,,1.0,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
154,155,-9,Jul - Oh qu'elle est belle,87,90,,1284,-61,0.145,,,,,,,7.0,,,,,,16.0,,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
155,156,+12,Vance Joy - Riptide,810,48,,1284,71,2.055,,77.0,,164.0,51.0,124.0,,,,,,,146.0,,76.0,,,,,,120.0,,147.0,94.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
156,157,-10,Teddy Swims - The Door,38,97,,1283,-60,0.09,,28.0,,,,,171.0,,,,,,199.0,,105.0,,,,,,159.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,156.0,,,,,,,,,,2024-06-30
157,158,-1,tuki. - æ©é¤æ­,219,103,,1282,0,0.302,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
158,159,NEW,Vaundy - è¸ãå­,23,159,,1279,335,0.479,,,47.0,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
159,160,-27,Jack Harlow - Lovin On Me,234,3,(x13),1277,-147,1.568,172.0,99.0,,126.0,44.0,71.0,,,,,,,,,,,,,,,,,133.0,123.0,,,,,,151.0,,,,,,,,,,,,,,,,,,,,,,,,,183.0,,,,,,2024-06-30
160,161,+40,Big Baby Tape & Aarne - Supersonic,1,161,,1273,175,0.003,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,32.0,,47.0,,,,,,,,,,,,,,,26.0,,2024-06-30
161,162,+9,"uniqe, nkeeei & ARTEM SHILOVETS - ÐÐÐÐÐ£Ð",3,162,,1269,77,0.006,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,18.0,,81.0,,,,,,,,,,,,,,,21.0,,2024-06-30
162,163,-4,KAROL G - AMARGURA,164,137,,1266,1,0.455,,,,,,,,,,103.0,,,,,,,10.0,18.0,,,,,,,,,,,89.0,,32.0,,,15.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,2024-06-30
163,164,+3,Mrs. GREEN APPLE - Soranji,327,134,,1257,24,0.684,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
164,165,+13,Chris Stapleton - Tennessee Whiskey,79,130,,1253,79,0.645,59.0,,,,97.0,41.0,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
165,166,+10,Sexyy Red & Drake - U My Everything,35,75,,1249,69,0.053,12.0,,,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
166,167,-16,Kygo & Ava Max - Whatever,152,41,,1246,-82,0.338,,98.0,,63.0,,,66.0,,,,,,,,78.0,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,36.0,,,,,,,146.0,,,,,,2024-06-30
167,168,-8,Mrs. GREEN APPLE - Dear,40,144,,1233,-24,0.052,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
168,169,-5,Bad Bunny & Bomba EstÃ©reo - Ojitos Lindos,760,38,,1227,-12,1.527,,,,,,,,,,53.0,,,,,,,24.0,51.0,,,,,,,,,,,32.0,,47.0,,,16.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,2024-06-30
169,170,-27,Asake & Central Cee - Wave,9,104,,1222,-142,0.014,,37.0,,,,,,,,,,,,,179.0,,,,,,92.0,,,,,,,52.0,,,,,,,,,,,,,4.0,,,,,,9.0,,,,,94.0,,,138.0,,,,,,2024-06-30
170,171,-18,ZERB & Sofiya Nzau - Mwaki,13,153,,1222,-81,0.088,,,,45.0,,,69.0,,,,,,70.0,,142.0,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,77.0,,,,,,,,53.0,,,,,,,,2024-06-30
171,172,-9,Billie Eilish - THE GREATEST,45,9,,1220,-20,0.264,,,,,116.0,,,,,,,,125.0,44.0,185.0,,,,,,,,76.0,86.0,,,,90.0,110.0,,,,89.0,,,39.0,198.0,,,,,,13.0,99.0,89.0,68.0,,93.0,,,137.0,45.0,,20.0,108.0,,,,,,2024-06-30
172,173,+6,Morgan Wallen - You Proof,482,42,,1217,46,1.152,34.0,,,,168.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
173,174,+9,Lil Baby - Freestyle,560,75,,1213,53,1.142,21.0,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,92.0,,,,,,190.0,,,,,,,,,,,,,,2024-06-30
174,175,+21,Slimane - Mon amour,52,33,,1212,95,0.156,,,,,,,37.0,,,,,,19.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,100.0,14.0,,,,,,,,,,,,,,,,2024-06-30
175,176,-2,Bad Bunny - TitÃ­ Me PreguntÃ³,735,22,,1208,23,2.034,147.0,,,,,,,182.0,,65.0,,,,,165.0,,34.0,38.0,,,,,,,,,,,,,65.0,,,23.0,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,2024-06-30
176,177,+48,OneRepublic - I Ain't Worried,601,2,(x27),1206,173,4.072,,111.0,,105.0,101.0,,,,,,,,178.0,,59.0,,,,,,164.0,,115.0,73.0,,,,,,87.0,,24.0,173.0,,,,154.0,,,,,,,,,,,53.0,,,89.0,,,,114.0,,,,,,2024-06-30
177,178,-12,ECLIPSE - Sudden Shower,51,92,,1203,-33,0.082,,,,,,,,,10.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,90.0,,,,2024-06-30
178,179,+3,Joost - Europapa,50,38,,1201,41,0.18,,,,,,,,,,,,,7.0,,,,,,,,,,4.0,,,,,,,,,,,,37.0,,38.0,,,,,,,50.0,86.0,,,,,,,,,,58.0,,,,,,2024-06-30
179,180,-11,KAROL G & Peso Pluma - QLONA,307,37,,1194,-5,0.657,,,,,,,,,,75.0,,,,,,,19.0,26.0,,,,,,,,,,,64.0,,45.0,,,21.0,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,2024-06-30
180,181,-23,"Peso Pluma, Natanael Cano & Gabito Ballesteros - VINO TINTO",10,107,,1189,-79,0.014,112.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
181,182,-7,ÐÐ¸Ð¾ ÐÐ¸ÐÐ° & MIRAVI - ÐÐ¸Ñ,45,156,,1188,5,0.077,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,85.0,,,,,,,,,,,,,,,,,12.0,,2024-06-30
182,183,+5,Da-iCE - I wonder,36,174,,1186,45,0.052,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
183,184,+19,Sexyy Red - Get It Sexyy,97,98,,1183,89,0.139,17.0,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
184,185,-13,ANNA - 30ÂºC,3,172,,1182,-7,0.032,,,,,,,,2.0,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
185,186,+5,Fuerza Regida - TÃ NAME,131,69,,1176,47,0.222,81.0,,,,,,,,,12.0,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
186,187,-10,Fujii Kaze - Michi Teyu Ku,100,61,,1168,-10,0.179,,,44.0,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
187,188,-15,Jakone & Kiliana - ÐÑÑÐ°Ð»ÑÑ,5,173,,1168,-20,0.01,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,48.0,,2024-06-30
188,189,-9,Bennett - Vois sur ton chemin,300,43,,1167,4,0.694,,,,29.0,,,,,,,,,113.0,,92.0,,,,,,,,90.0,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
189,190,-25,Karan Aujla & Yeah Proof - Y.D.G,3,165,,1165,-72,0.004,,,,,,23.0,,,,,,,,,,,,,,,,13.0,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
190,191,+6,Taylor Swift - Blank Space,318,2,(x2),1163,48,1.725,,72.0,,,80.0,,,,,,,,,,,,,,,,13.0,,148.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,151.0,,61.0,,,,2024-06-30
191,192,-7,Luke Combs - Where the Wild Things Are,58,104,,1161,11,0.199,75.0,,,,62.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
192,193,-1,NewJeans - Super Shy,251,13,,1151,24,0.931,,,96.0,,,,,,38.0,,,186.0,,,,,,,81.0,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,,78.0,,,168.0,2024-06-30
193,194,-13,Vaundy - ã¿ã¤ã ãã©ããã¯ã¹,125,101,,1141,-22,0.199,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
194,195,-25,Tems - Love Me JeJe,55,79,,1140,-56,0.089,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,1.0,,,,,,58.0,194.0,,,,,,,141.0,,,,,,2024-06-30
195,196,-10,Rauw Alejandro - DILUVIO,233,86,,1135,-15,0.347,200.0,,,,,,,,,80.0,,,,,,,60.0,16.0,,,,,,,,,,,49.0,,48.0,,,20.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,2024-06-30
196,197,-4,Franglish - Position,117,100,,1134,9,0.175,,,,,,,15.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,2024-06-30
197,198,-4,"Big Baby Tape, Aarne & Toxi$ - Ameli",2,194,,1134,14,0.003,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,45.0,,,,,,,,,,,,,,,,,38.0,,2024-06-30
198,199,=,"TWS - If Iâm S, Can You Be My N",2,199,,1133,30,0.005,,,,,,,,,16.0,,,,,,,,,,44.0,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
199,200,+32,"The Weeknd, JENNIE & Lily Rose Depp - One Of The Girls",304,31,,1110,96,0.692,,,,,,,,,,,,55.0,,,,,,,,51.0,,151.0,,,,,,48.0,,,195.0,,,,82.0,101.0,,,,,,30.0,86.0,,,33.0,,,183.0,122.0,,,,29.0,,,83.0,,,37.0,2024-06-30
200,1,=,Sabrina Carpenter - Espresso,81,1,(x35),17269,0,1.191,11.0,3.0,,7.0,3.0,6.0,18.0,87.0,58.0,98.0,,7.0,4.0,5.0,6.0,,103.0,38.0,30.0,6.0,5.0,23.0,1.0,2.0,36.0,28.0,22.0,3.0,10.0,3.0,35.0,9.0,3.0,59.0,5.0,9.0,3.0,18.0,11.0,24.0,85.0,12.0,4.0,6.0,3.0,3.0,,2.0,15.0,6.0,1.0,2.0,9.0,3.0,1.0,10.0,3.0,11.0,31.0,8.0,2024-07-01
201,2,=,Sabrina Carpenter - Please Please Please,25,2,(x18),15834,188,0.364,4.0,2.0,,20.0,2.0,5.0,165.0,90.0,88.0,42.0,,3.0,21.0,6.0,10.0,,74.0,51.0,44.0,3.0,3.0,33.0,2.0,1.0,79.0,64.0,13.0,4.0,8.0,12.0,17.0,18.0,7.0,31.0,18.0,34.0,8.0,49.0,29.0,44.0,75.0,27.0,3.0,19.0,18.0,2.0,,1.0,6.0,1.0,7.0,10.0,22.0,5.0,5.0,9.0,1.0,28.0,,15.0,2024-07-01
202,3,=,Billie Eilish - BIRDS OF A FEATHER,46,2,(x7),15008,456,0.668,10.0,9.0,,11.0,8.0,10.0,106.0,103.0,64.0,75.0,,5.0,13.0,3.0,8.0,,102.0,89.0,78.0,1.0,26.0,116.0,5.0,4.0,68.0,61.0,10.0,1.0,13.0,9.0,43.0,17.0,4.0,56.0,16.0,3.0,11.0,35.0,36.0,54.0,42.0,17.0,2.0,2.0,2.0,1.0,,10.0,23.0,2.0,8.0,9.0,16.0,1.0,4.0,15.0,2.0,25.0,66.0,19.0,2024-07-01
203,4,=,Hozier - Too Sweet,102,4,,12755,163,1.086,16.0,7.0,,13.0,9.0,14.0,77.0,136.0,,,,4.0,14.0,13.0,5.0,,,,,36.0,6.0,110.0,10.0,7.0,,,17.0,6.0,,2.0,,7.0,19.0,,25.0,21.0,15.0,52.0,18.0,28.0,,100.0,12.0,7.0,9.0,12.0,,6.0,,18.0,5.0,15.0,17.0,12.0,9.0,13.0,6.0,22.0,35.0,35.0,2024-07-01
204,5,=,Benson Boone - Beautiful Things,165,1,(x30),12323,99,2.158,20.0,6.0,,15.0,5.0,7.0,19.0,46.0,96.0,,,,5.0,9.0,3.0,,,35.0,,139.0,15.0,,13.0,9.0,,92.0,12.0,11.0,60.0,8.0,168.0,8.0,18.0,,38.0,68.0,38.0,97.0,59.0,76.0,91.0,,30.0,21.0,4.0,38.0,,12.0,195.0,119.0,14.0,11.0,32.0,34.0,15.0,22.0,27.0,21.0,25.0,,2024-07-01
205,6,=,Kendrick Lamar - Not Like Us,58,3,(x5),12129,240,0.632,1.0,20.0,,37.0,7.0,3.0,130.0,102.0,,,,36.0,23.0,57.0,20.0,,,186.0,121.0,46.0,31.0,25.0,9.0,3.0,116.0,80.0,3.0,2.0,,29.0,,31.0,13.0,,27.0,8.0,14.0,36.0,34.0,70.0,2.0,18.0,7.0,14.0,8.0,19.0,56.0,11.0,,22.0,19.0,6.0,15.0,2.0,7.0,20.0,13.0,26.0,,78.0,2024-07-01
206,7,=,floyymenor & Cris Mj - Gata Only,132,7,,10634,115,1.031,34.0,,,8.0,,65.0,4.0,22.0,,11.0,23.0,,2.0,,1.0,,29.0,15.0,,,,,16.0,,72.0,,,7.0,16.0,6.0,3.0,16.0,132.0,8.0,11.0,25.0,30.0,45.0,10.0,25.0,95.0,5.0,18.0,13.0,1.0,142.0,,55.0,8.0,,21.0,8.0,7.0,10.0,41.0,24.0,,19.0,6.0,,2024-07-01
207,8,=,Eminem - Houdini,32,3,(x5),10146,-48,0.384,36.0,4.0,,4.0,6.0,8.0,127.0,91.0,,,,,15.0,,2.0,,,,,,12.0,,7.0,8.0,,,111.0,23.0,,1.0,,12.0,10.0,,14.0,81.0,9.0,,14.0,,,,25.0,10.0,7.0,93.0,,7.0,,128.0,13.0,23.0,28.0,27.0,8.0,23.0,24.0,17.0,78.0,,2024-07-01
208,9,+1,Taylor Swift - Fortnight,74,1,(x28),9941,179,1.109,40.0,15.0,,32.0,10.0,31.0,129.0,140.0,,,,30.0,50.0,34.0,30.0,38.0,,116.0,59.0,16.0,2.0,,19.0,12.0,197.0,39.0,53.0,20.0,27.0,46.0,167.0,97.0,29.0,,55.0,142.0,43.0,,,,,,22.0,41.0,21.0,11.0,,15.0,170.0,10.0,45.0,18.0,199.0,20.0,14.0,58.0,4.0,,,9.0,2024-07-01
209,10,-1,Tommy Richman - MILLION DOLLAR BABY,65,7,,9884,43,0.627,5.0,22.0,,34.0,11.0,13.0,149.0,,24.0,,,60.0,76.0,100.0,22.0,,,,,48.0,58.0,,30.0,6.0,,,24.0,8.0,,31.0,,49.0,42.0,,34.0,70.0,55.0,94.0,45.0,,52.0,11.0,63.0,20.0,25.0,27.0,,25.0,,17.0,26.0,36.0,49.0,26.0,25.0,85.0,15.0,37.0,11.0,73.0,2024-07-01
210,11,=,Shaboozey - A Bar Song,80,11,,9801,185,0.619,2.0,1.0,,26.0,1.0,1.0,,,,,,,44.0,,4.0,,,,,,4.0,,12.0,5.0,,,6.0,18.0,,16.0,,13.0,9.0,,74.0,,31.0,,55.0,,,,,32.0,15.0,,,5.0,,153.0,42.0,,153.0,48.0,3.0,63.0,87.0,29.0,,,2024-07-01
211,12,=,Taylor Swift - Cruel Summer,509,1,(x36),9382,-186,5.22,82.0,17.0,157.0,49.0,13.0,50.0,,,22.0,,,26.0,43.0,45.0,31.0,33.0,,87.0,45.0,20.0,1.0,,15.0,15.0,,19.0,138.0,22.0,67.0,36.0,,74.0,38.0,,68.0,,49.0,,,,,,,74.0,30.0,13.0,,16.0,158.0,15.0,49.0,39.0,161.0,28.0,17.0,57.0,5.0,,,25.0,2024-07-01
212,13,+2,Billie Eilish - CHIHIRO,46,2,(x8),8884,498,0.604,52.0,51.0,,41.0,31.0,52.0,90.0,144.0,,74.0,,,11.0,2.0,18.0,,87.0,126.0,,92.0,62.0,,11.0,17.0,97.0,,35.0,9.0,18.0,38.0,44.0,27.0,23.0,61.0,20.0,5.0,35.0,64.0,53.0,84.0,,19.0,6.0,5.0,10.0,22.0,,24.0,47.0,71.0,10.0,7.0,34.0,4.0,16.0,31.0,19.0,39.0,19.0,79.0,2024-07-01
213,14,=,Billie Eilish - LUNCH,46,1,(x11),8747,209,0.632,66.0,29.0,,38.0,19.0,41.0,64.0,107.0,,185.0,,194.0,12.0,11.0,21.0,,,117.0,180.0,65.0,44.0,,8.0,16.0,169.0,,64.0,19.0,26.0,26.0,114.0,24.0,12.0,,33.0,35.0,17.0,,67.0,59.0,,52.0,17.0,16.0,13.0,25.0,,13.0,117.0,40.0,16.0,14.0,56.0,13.0,10.0,34.0,18.0,36.0,53.0,98.0,2024-07-01
214,15,-2,Teddy Swims - Lose Control,239,4,,8595,30,1.875,22.0,14.0,,36.0,12.0,25.0,141.0,174.0,,,,,41.0,37.0,16.0,,,61.0,,,47.0,,23.0,14.0,,,27.0,13.0,183.0,20.0,,22.0,22.0,,37.0,90.0,107.0,93.0,68.0,73.0,,,38.0,24.0,12.0,59.0,,23.0,,,15.0,16.0,40.0,40.0,18.0,39.0,62.0,34.0,13.0,,2024-07-01
215,16,=,Post Malone - I Had Some Help,53,10,,7796,-4,0.448,3.0,8.0,,65.0,4.0,2.0,,,,,,,153.0,,29.0,,,,,,11.0,,22.0,11.0,,,20.0,30.0,,40.0,,67.0,21.0,,,,69.0,,,,,,,61.0,,128.0,,19.0,,176.0,85.0,81.0,,44.0,13.0,75.0,82.0,84.0,,,2024-07-01
216,17,=,Artemas - i like the way you kiss me,103,3,(x8),7673,-15,0.938,,32.0,,6.0,25.0,87.0,50.0,47.0,,,,,7.0,,12.0,,,91.0,,,50.0,,20.0,33.0,,,47.0,36.0,,5.0,,11.0,49.0,,7.0,176.0,24.0,,26.0,,,72.0,58.0,11.0,5.0,79.0,,20.0,,,3.0,,45.0,97.0,12.0,45.0,48.0,13.0,17.0,,2024-07-01
217,18,=,"Chappell Roan - Good Luck, Babe",58,18,,7579,362,0.178,18.0,11.0,,53.0,15.0,23.0,,,,,,,107.0,32.0,33.0,,,178.0,,,10.0,,28.0,10.0,,,94.0,14.0,106.0,44.0,162.0,,89.0,,90.0,149.0,22.0,,,,,,9.0,42.0,44.0,96.0,,32.0,177.0,14.0,50.0,24.0,90.0,11.0,28.0,44.0,14.0,,,168.0,2024-07-01
218,19,=,Central Cee & Lil Baby - BAND4BAND,39,10,,7025,59,0.359,38.0,18.0,,40.0,28.0,30.0,,,,,,105.0,27.0,,17.0,,,,,,59.0,,26.0,30.0,,,42.0,10.0,,28.0,,59.0,59.0,,,43.0,42.0,54.0,61.0,,18.0,,21.0,67.0,6.0,150.0,49.0,43.0,,,65.0,22.0,50.0,31.0,50.0,51.0,,35.0,,132.0,2024-07-01
219,20,=,Myles Smith - Stargazing,52,19,,6977,264,0.288,153.0,5.0,,17.0,16.0,35.0,97.0,131.0,,,,,31.0,,7.0,,,,,,14.0,,38.0,23.0,,,16.0,33.0,,11.0,,61.0,43.0,,,,125.0,,93.0,,,,89.0,,24.0,184.0,,38.0,,123.0,123.0,,,89.0,68.0,64.0,63.0,44.0,,,2024-07-01
220,21,=,Dasha - Austin,117,18,,5630,-94,0.57,142.0,10.0,,18.0,14.0,34.0,,,,,,,84.0,,25.0,,,,,,17.0,,45.0,20.0,,,92.0,,,13.0,,,58.0,,,,62.0,,,,,,,90.0,46.0,,,30.0,,,119.0,,,,71.0,,,,,,2024-07-01
221,22,=,Ariana Grande - we can't be friends,116,1,(x28),5523,65,1.317,125.0,49.0,,101.0,29.0,107.0,198.0,,,,,27.0,87.0,53.0,75.0,,,,192.0,4.0,68.0,,57.0,19.0,,100.0,69.0,17.0,105.0,93.0,138.0,,46.0,,,166.0,44.0,,,,,96.0,16.0,81.0,68.0,4.0,,26.0,121.0,9.0,60.0,61.0,,15.0,27.0,,9.0,,,23.0,2024-07-01
222,23,=,Coldplay - Viva La Vida,649,17,,4995,-35,2.429,,16.0,,56.0,44.0,138.0,162.0,133.0,,,,,38.0,78.0,27.0,,,106.0,,,27.0,,35.0,39.0,,,193.0,42.0,82.0,41.0,,54.0,99.0,,,155.0,51.0,,46.0,,,,13.0,,20.0,99.0,,31.0,,195.0,193.0,48.0,70.0,65.0,39.0,28.0,34.0,71.0,,,2024-07-01
223,24,+6,Jordan Adetunji - Kehlani,12,24,,4924,751,0.046,19.0,21.0,,42.0,121.0,58.0,200.0,,,,,,81.0,,19.0,,,,,,98.0,,77.0,50.0,,,26.0,35.0,,65.0,,,,,,193.0,,,,,31.0,,,,14.0,,133.0,,,,,42.0,38.0,69.0,133.0,,,,,,2024-07-01
224,25,-1,aespa - Supernova,49,23,,4923,40,0.265,,,20.0,,,,,,4.0,,,24.0,,,,9.0,,,9.0,17.0,,,,,42.0,2.0,,,,,,,,,,,,,,,,,,,,16.0,,,,80.0,,,,,,,12.0,,,20.0,2024-07-01
225,26,=,Noah Kahan - Stick Season,264,9,,4500,95,1.541,63.0,12.0,,,20.0,17.0,,,,,,,90.0,,83.0,,,,,,21.0,,33.0,24.0,,,40.0,,,,,,177.0,,,,,,,,,,,,,,,80.0,,,,,,,130.0,,,,,,2024-07-01
226,27,+12,Billie Eilish - WILDFLOWER,46,6,,4495,675,0.39,68.0,70.0,,102.0,54.0,90.0,,,,,,,59.0,18.0,51.0,,,,,138.0,99.0,,34.0,28.0,,,75.0,21.0,55.0,90.0,129.0,,47.0,,86.0,10.0,66.0,,,,,,11.0,48.0,22.0,18.0,,29.0,166.0,115.0,62.0,21.0,104.0,8.0,45.0,89.0,66.0,,,,2024-07-01
227,28,=,aespa - Armageddon,36,28,,4420,130,0.161,,,68.0,,,,,,5.0,,,16.0,,,,7.0,,,10.0,11.0,,,,,47.0,5.0,,,,,,,,,,,,,,,,,,,,10.0,,,,65.0,,,,,,,11.0,,,22.0,2024-07-01
228,29,-2,NewJeans - How Sweet,39,24,,4362,4,0.188,,,12.0,,,,,,2.0,,,58.0,,,,22.0,,,4.0,61.0,,,,,89.0,1.0,,,,,,,,,,,,,,,,,,,,28.0,,,,130.0,,,,,,,10.0,,,53.0,2024-07-01
229,30,-5,Dua Lipa - Training Season,137,4,,4348,-184,0.943,,42.0,,79.0,27.0,,41.0,64.0,,,,,74.0,88.0,41.0,,,189.0,,,74.0,,37.0,32.0,143.0,,,71.0,127.0,45.0,,92.0,64.0,,,,74.0,,51.0,,,,73.0,88.0,51.0,,,48.0,,,47.0,40.0,,79.0,42.0,,75.0,56.0,94.0,,2024-07-01
230,31,-2,Tate McRae - greedy,291,1,(x22),4299,10,3.029,,76.0,,45.0,30.0,61.0,,,,,,197.0,65.0,71.0,50.0,,,,,87.0,92.0,,31.0,35.0,,,154.0,27.0,,43.0,,45.0,54.0,,78.0,,79.0,,76.0,,,,79.0,47.0,41.0,41.0,,51.0,,84.0,34.0,66.0,115.0,42.0,44.0,,32.0,61.0,71.0,173.0,2024-07-01
231,32,=,ILLIT - Magnetic,98,14,,4190,31,0.539,,,5.0,,,,,,9.0,,,40.0,,,,77.0,,,12.0,63.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,24.0,,,,107.0,,,,,,,8.0,,,34.0,2024-07-01
232,33,=,Mark Ambor - Belong Together,99,29,,4032,-5,0.362,,19.0,,16.0,170.0,197.0,99.0,,,,,,54.0,,11.0,,,,,,57.0,,46.0,168.0,,,57.0,76.0,,15.0,,68.0,180.0,,,,182.0,,,,,,,,54.0,,,40.0,,,113.0,,,47.0,,,,86.0,,,2024-07-01
233,34,=,Taylor Swift - Down Bad,74,2,(x12),4026,56,0.706,77.0,57.0,,157.0,23.0,60.0,,,,,,151.0,,42.0,197.0,,,,,100.0,23.0,,54.0,22.0,,,,38.0,42.0,143.0,,,57.0,,,,60.0,,,,,,47.0,,,49.0,,69.0,,16.0,,71.0,,53.0,23.0,,16.0,,,70.0,2024-07-01
