,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
271,72,-17,Nickelback - All the Right Reasons,27,50,,1965,-525,0.417,13.0,127.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
272,73,-23,Verschiedene Interpret:innen - The Very Best of Jazz: 50 Unforgettable Tracks,26,36,,1961,-699,0.068,,,,,,,,,,,,45.0,91.0,,82.0,,25.0,96.0,120.0,,,,,,27.0,,,66.0,,,104.0,,,,45.0,,,,40.0,,,,,,,,,,37.0,,,,,,43.0,,,25.0,,,2024-07-01
273,74,+1,Calvin Harris - Motion,2062,1,(x6),1957,-88,6.328,,,,,,,,,,,,53.0,103.0,,29.0,,,,,73.0,40.0,25.0,29.0,,,,,77.0,,,,,,,,35.0,19.0,,,43.0,,76.0,,,44.0,,,36.0,41.0,,,,27.0,,,,,,38.0,,2024-07-01
274,75,-5,Arctic Monkeys - AM,3038,1,(x4),1922,-171,9.748,,,,,,,46.0,,,,,,,,,,41.0,,123.0,71.0,,,,76.0,,20.0,37.0,,,,,28.0,,,,,,,,,,,,10.0,,41.0,2.0,,,,,,,15.0,15.0,,14.0,,,,2024-07-01
275,76,+28,Coldplay - Parachutes,260,10,,1882,282,2.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
276,77,+1,Birdy - Birdy,1196,28,,1862,-136,4.334,,,,,,50.0,45.0,,38.0,,124.0,,,,,46.0,,,,,,,,,,,19.0,,,43.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
277,78,+97,Elvis Presley - Elv1s: 30 #1 Hits,1283,10,,1856,659,3.161,,,,,,52.0,,68.0,4.0,,,,113.0,,,,,,,,,50.0,,,,,,,,81.0,,,,,,41.0,10.0,41.0,,,,,,,,,26.0,,,,63.0,,89.0,,20.0,,16.0,,,,2024-07-01
278,79,-11,David Guetta - Nothing But the Beat Ultimate,3844,1,(x7),1851,-268,17.565,,,,,,,,,,,,46.0,,,86.0,,,,129.0,76.0,,13.0,26.0,,,,,,,,114.0,90.0,,,,20.0,25.0,33.0,,15.0,39.0,,,,,44.0,17.0,17.0,28.0,,53.0,,14.0,,38.0,,30.0,,42.0,,2024-07-01
279,80,-23,Nathaniel Rateliff & The Night Sweats - South of Here,5,12,,1816,-590,0.016,8.0,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
280,81,+7,éå¨ä¸­ - FLOWER GARDEN,3,31,,1813,-61,0.008,,,,,7.0,,,,,,,,,,,,,160.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2024-07-01
281,82,+1,Ed Sheeran - +,2521,6,,1805,-151,9.198,,,,111.0,,,,,,,,117.0,,,,86.0,,,,52.0,,,,68.0,131.0,18.0,,74.0,77.0,6.0,43.0,,,56.0,,,86.0,,,,,,,,,,,42.0,,,,,57.0,,,,,,,,2024-07-01
282,83,+34,Jim Croce - Greatest,189,50,,1756,276,0.319,18.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
283,84,+14,Michael Jackson - The Essential Michael Jackson,1243,12,,1740,-19,4.88,105.0,,,122.0,,,58.0,,,,,,28.0,,101.0,,,,,,35.0,58.0,,,,,,,,38.0,,,,,,,48.0,,,,,,,,,,,,,,,74.0,,,41.0,,,,,,2024-07-01
284,85,+8,Prince - The Very Best of Prince,850,1,(x4),1734,-81,3.492,,,,36.0,,,61.0,,95.0,,,,,,,,,,,,,,,85.0,,69.0,,,46.0,25.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
285,86,+3,Esteriore Brothers - Viva Italia,20,38,,1715,-137,0.042,,,28.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
